pattern_ip,pattern_length,text_ip,text_length,naive_stream_match_count,naive_stream_time_sec,naive_stream_comparisons,naive_stream_mem_peak_mib,kmp_stream_match_count,kmp_stream_time_sec,kmp_stream_comparisons,kmp_stream_mem_peak_mib,naive_normal_match_count,naive_normal_time_sec,naive_normal_comparisons,naive_normal_mem_peak_mib,kmp_normal_match_count,kmp_normal_time_sec,kmp_normal_comparisons,kmp_normal_mem_peak_mib,kmp_vs_naive_stream_speedup_time,kmp_vs_naive_stream_reduction_comps,kmp_normal_vs_naive_normal_speedup_time,kmp_normal_vs_naive_normal_reduction_comps,naive_normal_vs_stream_speedup_time,naive_normal_vs_stream_reduction_comps,kmp_normal_vs_stream_speedup_time,kmp_normal_vs_stream_reduction_comps
1,7,0,10000,0,0.16351016599219292,15304,53.71875,0,0.8141567079583183,6,53.71875,0,0.8555480840150267,15304,53.78125,0,0.7765597919933498,11415,53.78125,0.20083377609481542,2550.6666666666665,1.1017156603214313,1.3406920718353044,0.19111744745526316,1.0,1.0484147085035926,0.0005256241787122207
1,7,1,50000,36606,0.17812379205133766,307115,54.890625,36606,0.16146083403145894,60716,56.265625,36606,0.16771712497575209,307115,57.390625,36606,0.15938500000629574,60716,58.796875,1.1032012383673933,5.058221885499703,1.0522767196983858,5.058221885499703,1.0620489236092625,1.0,1.013024023748039,1.0
1,7,2,100000,38040,0.19467708299634978,438015,58.84375,38040,0.16798087500501424,136964,59.921875,38040,0.1743822080316022,438015,60.125,38040,0.16207049996592104,130442,60.140625,1.15892409174877,3.1980301393066792,1.0759651390491791,3.357929194584566,1.1163815689331658,1.0,1.036467926244048,1.0499992333757533
1,7,3,50000,0,0.17607024998869747,49994,60.140625,0,0.16875937499571592,50006,60.140625,0,0.16163162502925843,49994,60.140625,0,0.15729062497848645,50006,60.140625,1.0433212969244947,0.9997600287965445,1.0275985936947336,0.9997600287965445,1.0893304448113132,1.0,1.0729143902810363,1.0
1,7,4,50000,0,0.17488308297470212,77313,60.140625,0,0.16382462496403605,69188,60.140625,0,0.17908141697989777,77313,60.140625,0,0.16020220902282745,56400,60.140625,1.0675018057455874,1.1174336590160143,1.1178461150581276,1.3707978723404255,0.9765562833039962,1.0,1.0226115230451813,1.2267375886524823
1,7,5,10000,0,0.15861733397468925,9994,60.140625,0,0.7608057089964859,6,60.140625,0,0.7617853339761496,9994,60.140625,0,0.7674165419884957,10006,60.140625,0.2084859933344978,1665.6666666666667,0.9926621232352448,0.998800719568259,0.20821788882017953,1.0,0.9913856000876915,0.0005996402158704777
1,7,6,100000,0,0.18187462503556162,99994,60.140625,0,0.16726987500442192,100006,60.140625,0,0.16442650003591552,99994,60.140625,0,0.16406070900848135,100006,60.140625,1.0873124944390233,0.999880007199568,1.00222960774487,0.999880007199568,1.1061150422579993,1.0,1.0195608443687432,1.0
1,7,7,50000,0,0.16638037498341873,52713,60.140625,0,0.1631850419798866,52181,60.140625,0,0.1611140000168234,52713,60.140625,0,0.16047324996907264,50550,60.140625,1.0195810410363837,1.0101952818075546,1.0039928776158908,1.0427893175074183,1.0326872585004743,1.0,1.0168987168349652,1.032265084075173
1,7,8,10000,0,0.16020529199158773,15747,60.140625,0,0.7564845409942791,6,60.140625,0,0.7618412090232596,15747,60.140625,0,0.7599350000382401,11526,60.140625,0.21177602886771915,2624.5,1.002508384249868,1.366215512753774,0.21028698644036797,1.0,0.9954595339814756,0.0005205622071837585
1,7,9,100000,0,0.19207045901566744,205429,60.140625,0,0.16644800000358373,146746,60.140625,0,0.16462058399338275,205429,60.140625,0,0.1666859170072712,129355,60.140625,1.1539367190445788,1.39989505676475,0.9876094330524734,1.5881025086003633,1.16674631055487,1.0,0.9985726628382343,1.1344439720149975
1,7,10,100000,0,0.19243250001454726,205429,60.140625,0,0.17185287503525615,146746,60.140625,0,0.17029029096011072,205429,60.140625,0,0.16734754102071747,129355,60.140625,1.1197514151280223,1.39989505676475,1.017584661964223,1.5881025086003633,1.1300262565152537,1.0,1.0269220210052619,1.1344439720149975
1,7,11,50000,0,0.17049212497659028,49994,60.140625,0,0.16324274998623878,50006,60.140625,0,0.1606590420124121,49994,60.140625,0,0.16045658302027732,50006,60.140625,1.0444085571393682,0.9997600287965445,1.0012617680641323,0.9997600287965445,1.061204665738132,1.0,1.0173639928852865,1.0
1,7,12,100000,0,0.18654883303679526,105429,60.140625,0,0.16857308300677687,104354,60.140625,0,0.16057250002631918,105429,60.140625,0,0.16494483401766047,101093,60.140625,1.1066347587016352,1.0103014738294651,0.9734921434952418,1.0428911991928225,1.1617732364272733,1.0,1.0219967421879241,1.032257426330211
1,7,13,10000,0,0.15900225000223145,15304,60.140625,0,0.7590805829968303,6,60.140625,0,0.762394083023537,15304,60.140625,0,0.761275792028755,11415,60.140625,0.20946689134702237,2550.6666666666665,1.001468969598786,1.3406920718353044,0.2085565110522017,1.0,0.99711640767392,0.0005256241787122207
1,7,14,50000,0,0.16888366598868743,78788,60.140625,0,0.15789699996821582,69024,60.140625,0,0.16205774998525158,78788,60.140625,0,0.1622264999896288,57612,60.140625,1.0695812208128286,1.141458043579045,0.9989597876771797,1.367562313406929,1.0421202688798101,1.0,0.9733120049949314,1.1980837325557177
1,7,15,100000,0,0.189007707987912,157599,60.140625,0,0.17047262500273064,138049,60.140625,0,0.16220412502298132,157599,60.140625,0,0.16675100004067644,115223,60.140625,1.108727621134974,1.1416163825887908,0.9727325472315849,1.3677737951624243,1.1652460007483356,1.0,1.0223184566278245,1.1981028093349417
