pattern_ip,target_ip,data_type,text_length,pattern_length,naive_match_count,naive_time_sec,naive_comparisons,naive_peak_memory_mb,kmp_match_count,kmp_time_sec,kmp_comparisons,kmp_peak_memory_mb,kmp_speedup_ratio_time,kmp_reduction_ratio_comps
5,6,Flow,89,7,26,0.0006035839905962348,371,0,26,0.0003992080455645919,142,0,1.5119534721365602,2.612676056338028
5,7,Flow,92,7,0,0.00039154093246906996,104,0,0,0.00026695895940065384,109,0,1.4666708821015542,0.9541284403669725
5,8,Flow,92,7,0,0.011399250011891127,96,0,0,0.000294750090688467,106,0,38.67428839551891,0.9056603773584906
5,9,Flow,92,7,0,0.00042749999556690454,87,0,0,0.0002732080174610019,100,0,1.564741765412966,0.87
4,0,Flow,92,7,1,0.0005090419435873628,180,0,1,0.00045950000640004873,154,0,1.1078170544010437,1.1688311688311688
4,1,Flow,56,7,0,0.00026124995201826096,56,0,0,0.00017654197290539742,65,0,1.4798177890436035,0.8615384615384616
4,2,Flow,92,7,0,0.011496584047563374,123,0,0,0.00036029203329235315,122,0,31.909070934784328,1.0081967213114753
4,3,Flow,89,7,0,0.0004174590576440096,88,0,0,0.00027829105965793133,102,0,1.5000807361800994,0.8627450980392157
4,4,Flow,86,7,2,0.00047545903362333775,168,0,2,0.0004162909463047981,139,0,1.1421315737076303,1.20863309352518
4,5,Flow,67,7,0,0.00031816703267395496,71,0,0,0.00022912491112947464,84,0,1.3886182480357367,0.8452380952380952
4,6,Flow,89,7,0,0.013081458979286253,96,0,0,0.0003077499568462372,111,0,42.50677762343998,0.8648648648648649
4,7,Flow,92,7,0,0.0004951669834554195,163,0,0,0.0004886250244453549,174,0,1.0133885058741936,0.9367816091954023
4,8,Flow,92,7,0,0.0004902500659227371,162,0,0,0.00041375006549060345,140,0,1.184894231597097,1.1571428571428573
4,9,Flow,92,7,0,0.0004353750264272094,105,0,0,0.01370137499179691,110,0,0.03177600983024483,0.9545454545454546
3,0,Flow,92,7,0,0.00043695897329598665,88,0,0,0.0002800829242914915,100,0,1.5601057236935625,0.88
3,1,Flow,56,7,0,0.0002579579595476389,50,0,0,0.00017137499526143074,62,0,1.5052251885062156,0.8064516129032258
3,2,Flow,92,7,0,0.00042495899833738804,86,0,0,0.00026875000912696123,98,0,1.5812427308109653,0.8775510204081632
3,3,Flow,89,7,46,0.0008426250424236059,463,0,46,0.011180083965882659,130,0,0.0753684001833059,3.5615384615384613
3,4,Flow,86,7,0,0.0003535420401021838,81,0,0,0.00030695891473442316,93,0,1.151756874069169,0.8709677419354839
3,5,Flow,67,7,17,0.00044183304999023676,261,0,17,0.00040737504605203867,112,0,1.0845854557664691,2.330357142857143
3,6,Flow,89,7,26,0.0006608749972656369,371,0,26,0.0004492079606279731,142,0,1.471200546717299,2.612676056338028
3,7,Flow,92,7,0,0.01135879207868129,104,0,0,0.0002727499231696129,109,0,41.64544556669842,0.9541284403669725
3,8,Flow,92,7,0,0.0003837919794023037,96,0,0,0.000306583009660244,106,0,1.2518370793855238,0.9056603773584906
3,9,Flow,92,7,0,0.0004980410449206829,87,0,0,0.00024695799220353365,100,0,2.0167034906495998,0.87
6,0,Flow,92,7,0,0.00038179196417331696,88,0,0,0.00024520803708583117,105,0,1.5570124401741234,0.8380952380952381
6,1,Flow,56,7,0,0.011414707987569273,50,0,0,0.0001561250537633896,67,0,73.11259604027727,0.746268656716418
6,2,Flow,92,7,0,0.0003809999907389283,86,0,0,0.00024154200218617916,103,0,1.5773653745126106,0.8349514563106796
6,3,Flow,89,7,5,0.0007323339814320207,463,0,5,0.00045262498315423727,151,0,1.617970745513332,3.066225165562914
6,4,Flow,86,7,0,0.00040087499655783176,81,0,0,0.00025737506803125143,98,0,1.5575517847329177,0.826530612244898
6,5,Flow,67,7,2,0.011579207959584892,261,0,2,0.0003488330403342843,122,0,33.19412618853024,2.139344262295082
6,6,Flow,89,7,4,0.0006751659093424678,371,0,4,0.0005254590651020408,149,0,1.2849067685441014,2.48993288590604
6,7,Flow,92,7,0,0.0003942920593544841,104,0,0,0.00026875000912696123,114,0,1.467133194284712,0.9122807017543859
6,8,Flow,92,7,0,0.011214875034056604,96,0,0,0.0002958329860121012,111,0,37.90948124222312,0.8648648648648649
6,9,Flow,92,7,0,0.0004242910072207451,87,0,0,0.00027258298359811306,105,0,1.556557205516193,0.8285714285714286
